,freeze,unfreeze,t_frozen,t_unfrozen,t_frozen_cumulative,t_unfrozen_cumulative,t_decay,ed_estimate
0,6.967,0.0,3.4330000000000007,0.0,0.0,0.0,0.0,50.0
1,10.4,12.567,2.167,1.4000000000000004,3.4330000000000007,0.0,3.4330000000000007,50.0
2,13.967,16.067,2.0999999999999996,1.1999999999999993,5.6000000000000005,1.4000000000000004,2.8,50.0
3,17.267,19.733,2.466000000000001,1.0,7.7,2.5999999999999996,2.500000000000001,50.0
4,20.733,22.833,2.099999999999998,1.3670000000000009,10.166,3.5999999999999996,2.966000000000001,50.0
5,24.2,26.233,2.0330000000000013,1.4669999999999987,12.265999999999998,4.9670000000000005,2.331999999999997,50.0
6,27.7,30.067,2.367000000000001,1.1000000000000014,14.299,6.433999999999999,1.431000000000001,50.0
7,31.167,33.367,2.1999999999999957,8.166000000000004,16.666,7.534000000000001,1.597999999999999,50.0
8,41.533,45.033,3.5,0.0,18.865999999999996,15.700000000000005,0.0,50.0
9,45.033,47.3,2.266999999999996,1.233000000000004,3.5,0.0,3.5,50.0
10,48.533,51.0,2.4669999999999987,1.0330000000000013,5.766999999999996,1.233000000000004,3.3009999999999877,50.0
11,52.033,54.367,2.333999999999996,2.933,8.233999999999995,2.2660000000000053,3.701999999999984,50.0
12,57.3,60.433,3.1330000000000027,5.800000000000004,10.56799999999999,5.199000000000005,0.1699999999999804,50.0
13,66.233,69.633,3.3999999999999915,0.20000000000000284,3.1330000000000027,5.800000000000004,0.0,50.0
14,69.833,72.3,2.4669999999999987,1.0,3.3999999999999915,0.20000000000000284,2.999999999999986,50.0
15,73.3,75.433,2.1330000000000098,1.2999999999999972,5.86699999999999,1.2000000000000028,3.4669999999999845,50.0
16,76.733,79.033,2.299999999999997,1.2000000000000028,8.0,2.5,3.0,50.0
17,80.233,82.467,2.2339999999999947,1.3329999999999984,10.299999999999997,3.700000000000003,2.8999999999999915,50.0
18,83.8,85.833,2.0330000000000013,1.4339999999999975,12.533999999999992,5.033000000000001,2.4679999999999893,50.0
19,87.267,89.267,2.0,1.4660000000000082,14.566999999999993,6.466999999999999,1.6329999999999956,50.0
20,90.733,92.967,2.2339999999999947,1.233000000000004,16.566999999999993,7.933000000000007,0.7009999999999792,50.0
21,94.2,96.6,2.3999999999999915,1.0330000000000013,18.800999999999988,9.166000000000011,0.46899999999996567,50.0
22,97.633,99.933,2.3000000000000114,1.1999999999999886,21.20099999999998,10.199000000000012,0.8029999999999546,50.0
23,101.133,103.433,2.3000000000000114,1.1999999999999886,23.50099999999999,11.399000000000001,0.7029999999999887,50.0
24,104.633,106.7,2.0670000000000073,1.4669999999999987,25.801000000000002,12.59899999999999,0.6030000000000229,50.0
25,108.167,110.567,2.3999999999999915,4.5660000000000025,27.86800000000001,14.065999999999988,0.0,50.0
26,115.133,118.733,3.6000000000000085,2.3999999999999915,2.3999999999999915,4.5660000000000025,0.0,50.0
27,121.133,124.7,3.5670000000000073,0.06699999999999307,3.6000000000000085,2.3999999999999915,0.0,50.0
28,124.767,127.267,2.5,1.0,3.5670000000000073,0.06699999999999307,3.433000000000021,50.0
29,128.267,130.6,2.3329999999999984,0.46700000000001296,6.067000000000007,1.066999999999993,3.933000000000021,50.0
30,131.067,133.867,2.799999999999983,1.2660000000000196,8.400000000000006,1.534000000000006,5.331999999999994,50.0
31,135.133,137.5,2.3669999999999902,1.266999999999996,11.199999999999989,2.8000000000000256,5.5999999999999375,50.0
32,138.767,140.8,2.0330000000000155,1.3329999999999984,13.566999999999979,4.0670000000000215,5.432999999999936,50.0
33,142.133,144.2,2.066999999999979,8.667000000000002,15.599999999999994,5.40000000000002,4.7999999999999545,50.0
34,152.867,155.333,2.466000000000008,1.1340000000000146,17.666999999999973,14.067000000000021,0.0,50.0
35,156.467,159.7,3.2329999999999757,0.26700000000002433,2.466000000000008,1.1340000000000146,0.19799999999997908,50.0
36,159.967,162.167,2.1999999999999886,1.1999999999999886,5.698999999999984,1.4010000000000389,2.896999999999906,50.0
37,163.367,165.6,2.233000000000004,1.233000000000004,7.8989999999999725,2.6010000000000275,2.6969999999999175,50.0
38,166.833,169.333,2.5,1.0,10.131999999999977,3.8340000000000316,2.4639999999999134,50.0
39,170.333,172.333,2.0,4.199999999999989,12.631999999999977,4.834000000000032,2.9639999999999134,50.0
40,176.533,0.0,3.4000000000000057,0.0,14.631999999999977,9.03400000000002,0.0,50.0
41,179.933,182.5,2.5670000000000073,0.9329999999999927,3.4000000000000057,0.0,3.4000000000000057,50.0
42,183.433,185.6,2.1670000000000016,1.4000000000000057,5.967000000000013,0.9329999999999927,4.1010000000000275,50.0
43,187.0,189.533,2.532999999999987,1.0340000000000202,8.134000000000015,2.3329999999999984,3.4680000000000177,50.0
44,190.567,192.7,2.1329999999999814,1.3000000000000114,10.667000000000002,3.3670000000000186,3.9329999999999643,50.0
45,194.0,196.067,2.0670000000000073,1.3659999999999854,12.799999999999983,4.66700000000003,3.465999999999923,50.0
46,197.433,199.933,2.5,1.0670000000000073,14.86699999999999,6.0330000000000155,2.8009999999999593,50.0
47,201.0,203.1,2.0999999999999943,1.467000000000013,17.36699999999999,7.100000000000023,3.1669999999999447,50.0
48,204.567,206.9,2.3329999999999984,1.1329999999999814,19.466999999999985,8.567000000000036,2.332999999999913,50.0
49,208.033,210.267,2.234000000000009,1.0999999999999943,21.799999999999983,9.700000000000017,2.399999999999949,50.0
50,211.367,213.533,2.165999999999997,1.434000000000026,24.033999999999992,10.800000000000011,2.433999999999969,50.0
51,214.967,217.333,2.3659999999999854,1.2340000000000089,26.19999999999999,12.234000000000037,1.731999999999914,50.0
52,218.567,220.8,2.233000000000004,1.1670000000000016,28.565999999999974,13.468000000000046,1.6299999999998818,50.0
53,221.967,224.233,2.265999999999991,1.3340000000000032,30.798999999999978,14.635000000000048,1.5289999999998827,50.0
54,225.567,227.667,2.0999999999999943,2.0,33.06499999999997,15.969000000000051,1.1269999999998674,50.0
55,229.667,232.0,2.3329999999999984,2.1999999999999886,35.164999999999964,17.96900000000005,0.0,50.0
56,234.2,236.533,2.3329999999999984,1.1670000000000016,2.3329999999999984,2.1999999999999886,0.0,50.0
57,237.7,240.233,2.5330000000000155,1.0339999999999918,2.3329999999999984,1.1670000000000016,0.0,50.0
58,241.267,243.6,2.3329999999999984,1.0,2.5330000000000155,1.0339999999999918,0.46500000000003183,50.0
59,244.6,246.767,2.1670000000000016,1.2659999999999911,4.866000000000014,2.033999999999992,0.7980000000000302,50.0
60,248.033,250.367,2.334000000000003,1.6000000000000227,7.0330000000000155,3.299999999999983,0.43300000000004957,50.0
61,251.967,254.567,2.5999999999999943,0.4329999999999927,9.367000000000019,4.900000000000006,0.0,50.0
62,255.0,256.933,1.9329999999999927,6.867000000000019,2.5999999999999943,0.4329999999999927,1.7340000000000089,50.0
63,263.8,267.167,3.366999999999962,2.0,4.532999999999987,7.300000000000011,0.0,50.0
64,269.167,0.0,3.400000000000034,0.0,3.366999999999962,2.0,0.0,50.0
65,272.567,274.867,2.3000000000000114,1.233000000000004,3.400000000000034,0.0,3.400000000000034,50.0
66,276.1,278.4,2.2999999999999545,1.2000000000000455,5.7000000000000455,1.233000000000004,3.2340000000000373,50.0
67,279.6,281.867,2.266999999999996,1.233000000000004,8.0,2.4330000000000496,3.133999999999901,50.0
68,283.1,285.167,2.0669999999999504,4.366000000000042,10.266999999999996,3.6660000000000537,2.9349999999998886,50.0
69,289.533,0.0,2.599999999999966,0.0,12.333999999999946,8.032000000000096,0.0,50.0
70,292.133,295.233,3.1000000000000227,1.1000000000000227,2.599999999999966,0.0,2.599999999999966,50.0
71,296.333,298.767,2.433999999999969,1.066000000000031,5.699999999999989,1.1000000000000227,3.499999999999943,50.0
72,299.833,302.067,2.2339999999999804,1.2660000000000196,8.133999999999958,2.1660000000000537,3.8019999999998504,50.0
73,303.333,305.633,2.2999999999999545,1.2000000000000455,10.367999999999938,3.432000000000073,3.5039999999997917,50.0
74,306.833,308.833,2.0,1.4669999999999845,12.667999999999893,4.632000000000119,3.4039999999996553,50.0
75,310.3,312.667,2.366999999999962,1.066000000000031,14.667999999999893,6.099000000000103,2.4699999999996862,50.0
76,313.733,316.033,2.3000000000000114,1.266999999999996,17.034999999999854,7.165000000000134,2.704999999999586,50.0
77,317.3,319.433,2.1329999999999814,1.3000000000000114,19.334999999999866,8.43200000000013,2.4709999999996057,50.0
78,320.733,323.0,2.266999999999996,1.1999999999999886,21.467999999999847,9.732000000000141,2.0039999999995644,50.0
79,324.2,326.3,2.1000000000000227,1.33299999999997,23.734999999999843,10.93200000000013,1.870999999999583,50.0
80,327.633,329.833,2.2000000000000455,1.266999999999996,25.834999999999866,12.2650000000001,1.3049999999996658,50.0
81,331.1,333.2,2.099999999999966,1.4329999999999927,28.03499999999991,13.532000000000096,0.9709999999997194,50.0
82,334.633,336.867,2.2340000000000373,0.0,30.134999999999877,14.965000000000089,0.20499999999969987,50.0
